Label;Area;Major;Minor;Angle;Feret;Slice;FeretX;FeretY;FeretAngle;MinFeret;Scale_um;Scale_px
2022052409.tif_converted.tif:0473-0746;225294;1044.774649948;274.559906297;177.816389417;1014.126224885;1;239;470;179.095999605;276.869367518;1000;230
2022052410.tif_converted.tif:0563-0797;217476;1057.587863764;261.821313120;0.561964138;1023.236531795;1;286;550;1.231977403;266.775643418;1000;230
2022052411.tif_converted.tif:0545-0734;232726;1143.813415159;259.059687849;0.466060425;1114.064630082;1;177;531;179.382834145;263.741878779;1000;230
2022052412.tif_converted.tif:0564-0772;198410;1005.518519151;251.237001865;0.586078025;980.061732750;1;282;562;0.643088886;255.613450845;1000;230
2022052413.tif_converted.tif:0496-0795;212822;1059.941492046;255.649381049;0.850023012;1021.048970422;1;285;495;179.438844784;257.946090678;1000;230
2022052414.tif_converted.tif:0505-0793;221339;1054.767628746;267.184505773;179.288885843;1017.096357284;1;285;506;0.788682645;273.045184741;1000;230
2022052415.tif_converted.tif:0578-0811;214649;1050.656870144;260.122598352;0.427706498;1016.177641950;1;303;576;1.071351313;267.696796930;1000;230
2022052416.tif_converted.tif:0523-0870;218875;1071.000171678;260.205658900;1.379042377;1032.774902871;1;354;514;2.219655553;256.422669326;1000;230
2022052417.tif_converted.tif:0483-0743;222864;1047.259394064;270.954129900;179.751550276;1020.007843107;1;233;491;0.224688180;273.664493204;1000;230
2022052418.tif_converted.tif:0535-0830;227785;1079.750620964;268.603568330;178.434501153;1052.171563957;1;304;540;178.965302788;281.390691136;1000;230
2022052419.tif_converted.tif:0583-0848;232599;1111.085646360;266.544929129;179.614756522;1073.004193841;1;312;586;0.160192815;274.000000000;1000;230
2022052420.tif_converted.tif:0591-0861;231106;1065.580283636;276.143715067;178.141323116;1036.463699316;1;343;588;178.286062415;286.316379697;1000;230
2022052421.tif_converted.tif:0443-0852;221341;1046.427503229;269.316424885;179.167768361;1013.012339510;1;346;437;179.717199831;273.460494555;1000;230
2022052422.tif_converted.tif:0421-0793;203410;1006.291582398;257.370388787;178.114948772;980.522309792;1;303;430;178.129781904;265.000000000;1000;230
2022052423.tif_converted.tif:0516-0725;219824;988.902229507;283.029607306;178.244708635;969.051598213;1;241;510;0.591266725;287.897356587;1000;230
2022052424.tif_converted.tif:0453-0841;201519;925.070471734;277.364771285;177.075827096;909.545490891;1;387;426;176.659433224;286.993456018;1000;230
2022052425.tif_converted.tif:0603-0732;241120;1019.288644217;301.193897105;178.077676985;997.204592849;1;234;595;177.183502545;311.634639141;1000;230
2022052426.tif_converted.tif:0499-0824;229378;957.037253033;305.163816107;177.454184201;949.265505536;1;350;483;177.041142398;313.376413425;1000;230
2022052427.tif_converted.tif:0507-0745;258507;1070.780871155;307.384399421;179.032679135;1058.682199718;1;216;498;177.943001778;320.857419767;1000;230
2022052428.tif_converted.tif:0570-0755;214027;968.898355903;281.255137219;179.208466335;956.878780202;1;277;563;177.544259101;285.000000000;1000;230
2022052429.tif_converted.tif:0544-0802;227240;972.696315239;297.452503533;179.005562900;962.831241703;1;321;532;177.619010637;302.466853469;1000;230
2022052430.tif_converted.tif:0586-0782;227528;998.704717359;290.073374141;178.078935567;990.366093927;1;288;563;176.990253189;298.023006859;1000;230
