Label,Length
2022040832+AF8-side.jpg,947.091
2022050254+AF8-side.tif,945.941
2021121702+AF8-side.jpg,945.722
2022092306+AF8-side.tif,945.336
2022092301+AF8-side.tif,945.295
2022050252+AF8-side.tif,945.293
2021121712+AF8-side.jpg,945.245
2021121715+AF8-side.jpg,945.125
2021121728+AF8-side.jpg,945.086
2022050520+AF8-side.tif,944.764
2022050513+AF8-side.tif,944.643
2021120304+AF8-side.tif,944.303
2022030423+AF8-side.tif,943.593
2021120901+AF8-side.jpg,943.392
2022110211+AF8-side.tif,943.272
2022042914+AF8-side.tif,942.021
2022032429+AF8-side.tif,941.871
2022032425+AF8-side.tif,941.860
2022110301+AF8-side.tif,941.537
2022110309+AF8-side.tif,941.336
2021120915+AF8-side.jpg,941.168
2022050410+AF8-side.tif,941.138
2022042516+AF8-side.tif,941.097
2022050408+AF8-side.tif,940.655
2022042517+AF8-side.tif,940.575
2022030421+AF8-side.tif,940.116
2022050629+AF8-side.jpg,939.772
2022031532+AF8-side.jpg,939.493
2022032409+AF8-side.tif,939.171
2022011430+AF8-side.jpg,939.171
2022032429+AF8-side.tif,939.130
2022092304+AF8-side.tif,936.706
2022092302+AF8-side.tif,936.706
2022092303+AF8-side.tif,936.584
2022031512+AF8-side.jpg,936.581
2022031531+AF8-side.jpg,936.543
2021121733+AF8-side.jpg,936.415
2022050521+AF8-side.tif,935.897
2022050506+AF8-side.tif,935.897
2022050503+AF8-side.tif,935.897
2022042803+AF8-side.tif,934.865
2022110203+AF8-side.tif,934.539
2022021120+AF8-side.jpg,934.538
2022042901+AF8-side.tif,934.498
2022021123+AF8-side.jpg,934.497
2021120107+AF8-side.jpg,933.999
2021120103+AF8-side.jpg,933.999
2022032405+AF8-side.tif,933.180
2022110310+AF8-side.tif,932.623
2021121401+AF8-side.jpg,932.494
2021120918+AF8-side.jpg,932.494
2022020210+AF8-side.jpg,931.781
2022031521+AF8-side.jpg,930.597
2022011424+AF8-side.jpg,930.597
2022042525+AF8-side.tif,930.593
2022032415+AF8-side.tif,930.475
2022032405+AF8-side.tif,930.475
2022031530+AF8-side.jpg,930.475
2022050611+AF8-side.jpg,930.473
