Label,Area,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Scale+AF8-um,Scale+AF8-px
2022032419.tif+AF8-converted.tif:0572+AC0-0874,141394,740.333122847,243.172197262,1.516318256,726.465415557,1,511,585,2.051038417,242.851434569,1000,230
2022032420.tif+AF8-converted.tif:0616+AC0-0834,136295,710.618137925,244.204551627,178.443804733,700.206398143,1,484,610,178.608804533,246.018706857,1000,230
2022032421.tif+AF8-converted.tif:0578+AC0-0837,127153,699.272685114,231.520880592,179.005379861,683.322764146,1,496,583,178.238898347,231.143571767,1000,230
2022032422.tif+AF8-converted.tif:0570+AC0-0818,109408,633.646577313,219.842727946,179.393688809,625.012799869,1,506,563,179.633312018,224.700676138,1000,230
2022032423.tif+AF8-converted.tif:0584+AC0-0792,141490,722.513361164,249.338867442,179.908681799,711.045005608,1,437,585,0.644651047,250.000000000,1000,230
2022032424.tif+AF8-converted.tif:0555+AC0-0831,137965,721.407067180,243.499823860,179.600079351,712.070221256,1,475,543,0.804663098,245.000000000,1000,230
2022032425.tif+AF8-converted.tif:0567+AC0-0830,149346,771.089435230,246.603343737,179.219320258,752.023935789,1,454,548,179.542862523,244.998449943,1000,230
2022032426.tif+AF8-converted.tif:0556+AC0-0867,118193,668.087790590,225.251836107,0.325002487,652.276781742,1,541,564,1.669189899,224.000000000,1000,230
2022032427.tif+AF8-converted.tif:0608+AC0-0843,133660,704.323451012,241.623642241,179.647147040,692.260789009,1,497,611,1.572754879,243.000000000,1000,230
2022032428.tif+AF8-converted.tif:0576+AC0-0915,118052,666.895596412,225.385315998,179.409227998,650.307619516,1,590,572,178.237608976,225.536534479,1000,230
2022032429.tif+AF8-converted.tif:0551+AC0-0793,135388,702.225944161,245.478477285,178.828921932,692.607392395,1,447,546,177.600280462,247.000000000,1000,230
2022040825.jpg+AF8-converted.tif:0510+AC0-0802,149605,741.621208009,256.846756852,178.496257506,749.216257165,1,428,499,178.623330365,257.000000000,500,115
2022040826.jpg+AF8-converted.tif:0572+AC0-0790,175357,833.561421046,267.852447593,178.097859834,825.196340273,1,378,554,178.750108570,270.000000000,500,115
2022040827.jpg+AF8-converted.tif:0635+AC0-0800,186131,731.791725295,323.848086155,174.933276621,792.530756501,1,404,551,177.902985329,398.910409555,500,115
2022040828.jpg+AF8-converted.tif:0507+AC0-0706,187337,814.058912320,293.006897882,178.366939025,812.354602375,1,300,496,178.307021562,294.000000000,500,115
2022040829.jpg+AF8-converted.tif:0553+AC0-0799,191323,845.834021925,287.999776674,0.837445911,836.468768096,1,381,550,1.918280325,292.000000000,500,115
2022040830.jpg+AF8-converted.tif:0586+AC0-0811,163558,818.434788671,254.447289314,1.583247723,799.050686753,1,412,586,179.354643043,254.076886603,500,115
2022040831.jpg+AF8-converted.tif:0508+AC0-0737,154033,776.111979403,252.696662336,179.381541051,766.031983666,1,354,509,179.476423900,250.000000000,500,115
2022040832.jpg+AF8-converted.tif:0538+AC0-0703,159471,797.716824709,254.532406926,177.706942590,792.305496636,1,307,531,178.408859729,256.411230314,500,115
2022040833.jpg+AF8-converted.tif:0532+AC0-0668,207909,882.257308760,300.046208604,174.618584303,879.720978493,1,229,507,176.415540293,303.392225834,500,115
2022040834.jpg+AF8-converted.tif:0583+AC0-0796,172829,808.806091689,272.071043404,178.610034148,811.104185663,1,391,575,179.081650619,273.954949184,500,115
2022040835.jpg+AF8-converted.tif:0540+AC0-0697,159342,770.728376182,263.232212290,179.731190406,772.002590669,1,311,533,179.851565670,265.348683404,500,115
2022040836.jpg+AF8-converted.tif:0619+AC0-0745,201665,857.997954648,299.263945092,179.716262355,856.114478326,1,317,614,179.063003034,316.622600824,500,115
2022040837.jpg+AF8-converted.tif:0589+AC0-0798,202311,880.684451032,292.488830969,1.698655753,887.352241221,1,355,602,1.614448000,294.447677867,500,115
2022040838.jpg+AF8-converted.tif:0611+AC0-0795,177215,807.181390121,279.537101179,179.941907266,811.061649938,1,390,601,0.706447300,281.611896505,500,115
2022040839.jpg+AF8-converted.tif:0560+AC0-0864,211948,886.584343423,304.382292592,179.750765362,880.056816348,1,424,548,0.651060380,304.276229348,500,115
2022040840.jpg+AF8-converted.tif:0631+AC0-0835,182728,830.954415716,279.987098125,0.568831468,825.087268112,1,423,641,0.833334390,277.619143864,500,115
2022042108.tif+AF8-converted.tif:0551+AC0-0794,260861,894.829288950,371.175312409,1.616099755,909.563081925,1,340,585,2.016180539,374.870597526,1000,230
2022042109.tif+AF8-converted.tif:0498+AC0-0857,268658,951.713054713,359.421348605,0.453080759,959.052136226,1,378,524,0.597431731,367.000000000,1000,230
2022042110.tif+AF8-converted.tif:0588+AC0-0815,292623,959.265773634,388.400363632,177.679771316,976.373391690,1,327,583,178.415377464,400.609032165,1000,230
2022042111.tif+AF8-converted.tif:0642+AC0-0771,224037,838.999876838,339.991429986,3.152735696,852.600727187,1,345,648,2.150943128,368.382280281,1000,230
2022042715.tif+AF8-converted.tif:0546+AC0-0841,109121,650.935334307,213.442357541,0.302390561,637.028256830,1,523,546,179.460338287,213.000000000,1000,230
2022042716.tif+AF8-converted.tif:0575+AC0-0699,105995,638.557589137,211.346678577,178.993253133,622.157536320,1,388,566,178.710602096,208.514883952,1000,230
2022042717.tif+AF8-converted.tif:0551+AC0-0785,144287,750.009215144,244.946209302,1.835156183,733.883505742,1,419,557,2.811721711,245.406429944,1000,230
2022042719.tif+AF8-converted.tif:0538+AC0-0878,142845,741.541399935,245.267361719,1.149445627,728.659728543,1,514,542,2.438319750,246.825326556,1000,230
2022042720.tif+AF8-converted.tif:0661+AC0-0766,114772,640.123688776,228.287519413,2.583987464,642.411861659,1,445,690,2.051775040,230.000000000,1000,230
2022042721.tif+AF8-converted.tif:0660+AC0-0749,107417,657.736102610,207.936848280,1.281102676,640.153106686,1,429,670,1.253145319,205.000000000,1000,230
2022042722.tif+AF8-converted.tif:0510+AC0-0748,135524,716.790810416,240.732042813,1.609308861,706.478591325,1,395,522,2.109089737,242.931143367,1000,230
2022042723.tif+AF8-converted.tif:0546+AC0-0911,151169,770.317717885,249.863587802,0.521237601,756.214255354,1,533,544,1.363927532,249.000000000,1000,230
